datatype,flow,timestamp,value,time_offset
packetcount,S2,1612299326,803,82
bitrate,S2,1612299326,9263408,82
packetcount,Bronze,1612299326,1433,82
bitrate,Bronze,1612299326,16783296,82
packetcount,Gold,1612299327,1201,83
packetcount,S2,1612299327,798,83
packetcount,S1,1612299327,797,83
bitrate,S1,1612299327,9194192,83
bitrate,Gold,1612299327,14066112,83
bitrate,S2,1612299327,9205728,83
packetcount,Bronze,1612299327,1494,83
bitrate,Bronze,1612299327,17497728,83
bitrate,S1,1612299328,9228800,84
packetcount,S1,1612299328,800,84
packetcount,Gold,1612299328,1078,84
packetcount,S2,1612299328,804,84
bitrate,Gold,1612299328,12625536,84
bitrate,S2,1612299328,9274944,84
packetcount,Bronze,1612299328,1607,84
bitrate,Bronze,1612299328,18821184,84
packetcount,Bronze,1612299329,1425,85
bitrate,S1,1612299329,9205728,85
bitrate,Bronze,1612299329,16689600,85
packetcount,S1,1612299329,798,85
packetcount,Gold,1612299329,1262,85
bitrate,Gold,1612299329,14780544,85
packetcount,S2,1612299329,804,85
bitrate,S2,1612299329,9274944,85
packetcount,S2,1612299330,801,86
bitrate,S2,1612299330,9240336,86
packetcount,Bronze,1612299330,1441,86
bitrate,Bronze,1612299330,16876992,86
packetcount,S1,1612299330,797,86
bitrate,S1,1612299330,9194192,86
packetcount,Gold,1612299330,1250,86
bitrate,Gold,1612299330,14640000,86
bitrate,S1,1612299331,9205728,87
packetcount,S1,1612299331,798,87
bitrate,Gold,1612299331,12449856,87
packetcount,S2,1612299331,803,87
packetcount,Gold,1612299331,1063,87
bitrate,S2,1612299331,9263408,87
packetcount,Bronze,1612299331,1625,87
bitrate,Bronze,1612299331,19032000,87
bitrate,S1,1612299332,9090368,88
packetcount,Gold,1612299332,1620,88
packetcount,S1,1612299332,788,88
bitrate,Gold,1612299332,18973440,88
packetcount,S2,1612299332,798,88
packetcount,Bronze,1612299332,1083,88
bitrate,Bronze,1612299332,12684096,88
bitrate,S2,1612299332,9205728,88
packetcount,Gold,1612299333,1508,89
bitrate,Gold,1612299333,17661696,89
bitrate,S1,1612299333,9171120,89
packetcount,S1,1612299333,795,89
bitrate,S2,1612299333,9251872,89
packetcount,S2,1612299333,802,89
bitrate,Bronze,1612299333,13867008,89
packetcount,Bronze,1612299333,1184,89
packetcount,Gold,1612299334,1441,90
packetcount,S2,1612299334,801,90
bitrate,Gold,1612299334,16876992,90
bitrate,S2,1612299334,9240336,90
bitrate,S1,1612299334,9194192,90
packetcount,S1,1612299334,797,90
bitrate,Bronze,1612299334,14651712,90
packetcount,Bronze,1612299334,1251,90
bitrate,S1,1612299335,9171120,91
bitrate,Gold,1612299335,16795008,91
packetcount,Gold,1612299335,1434,91
packetcount,S1,1612299335,795,91
packetcount,S2,1612299335,802,91
bitrate,S2,1612299335,9251872,91
packetcount,Bronze,1612299335,1258,91
bitrate,Bronze,1612299335,14733696,91
packetcount,Gold,1612299336,1167,92
bitrate,Gold,1612299336,13667904,92
bitrate,S2,1612299336,9298016,92
packetcount,S2,1612299336,806,92
packetcount,S1,1612299336,802,92
bitrate,S1,1612299336,9251872,92
packetcount,Bronze,1612299336,1514,92
bitrate,Bronze,1612299336,17731968,92
packetcount,Bronze,1612299337,1425,93
bitrate,Bronze,1612299337,16689600,93
